"","NTopics","Binary","Alpha","Beta","Cutoff","City","MinUsers","MinVenues","m","sd","nmi"
"1",20,"false","0.6","0.01",0.005,"new_york",5,2,15.425,6.17226011051016,0.258686
"2",40,"false","0.6","0.01",0.005,"new_york",5,2,25.375,7.56637297521078,0.0749438
"3",80,"false","0.6","0.01",0.005,"new_york",5,2,32.65625,6.69182066679002,0.0741364
"4",20,"true","0.6","0.01",0.005,"new_york",5,2,8.23076923076923,4.30092730797697,0.415567
"5",40,"true","0.6","0.01",0.005,"new_york",5,2,12.6410256410256,6.32655577904028,0.322473
"6",80,"true","0.6","0.01",0.005,"new_york",5,2,15.0377358490566,9.03991625959088,0.246967
"7",20,"false","20.0","0.01",0.005,"new_york",5,2,15.75,6.5973965339095,0.170683
"8",40,"false","20.0","0.01",0.005,"new_york",5,2,25.9625,7.82634911732981,0.0913283
"9",80,"false","20.0","0.01",0.005,"new_york",5,2,33.45625,6.58743503303565,0.0924601
"10",20,"true","20.0","0.01",0.005,"new_york",5,2,9.1,4.36066332286553,0.410755
"11",40,"true","20.0","0.01",0.005,"new_york",5,2,16.6875,7.79417788228877,0.3783
"12",80,"true","20.0","0.01",0.005,"new_york",5,2,23.59375,9.58004797390858,0.228334
"13",20,"false","50.0","0.01",0.005,"new_york",5,2,15.475,6.36894508835345,0.153675
"14",40,"false","50.0","0.01",0.005,"new_york",5,2,25.8125,7.10338437790418,0.102639
"15",80,"false","50.0","0.01",0.005,"new_york",5,2,33.28125,6.76670713653976,0.0854398
"16",20,"true","50.0","0.01",0.005,"new_york",5,2,11.1794871794872,5.29086499182066,0.439012
"17",40,"true","50.0","0.01",0.005,"new_york",5,2,17.25,7.08805377583395,0.348699
"18",80,"true","50.0","0.01",0.005,"new_york",5,2,25.4125,9.62399222854499,0.211552
"19",20,"false","100.0","0.01",0.005,"new_york",5,2,15.55,7.04545680126289,0.116741
"20",40,"false","100.0","0.01",0.005,"new_york",5,2,25.9625,8.23614102522181,0.15349
"21",80,"false","100.0","0.01",0.005,"new_york",5,2,32.9875,6.53869709869081,0.0724332
"22",20,"true","100.0","0.01",0.005,"new_york",5,2,13.1794871794872,7.0145405179144,0.334
"23",40,"true","100.0","0.01",0.005,"new_york",5,2,21.5189873417722,8.40155779128791,0.228971
"24",80,"true","100.0","0.01",0.005,"new_york",5,2,31.0125,9.96912687079655,0.13856
"25",20,"false","0.6","1.0",0.005,"new_york",5,2,14.55,5.425249610233,0.0862819
"26",40,"false","0.6","1.0",0.005,"new_york",5,2,24.75,6.77766249239068,0.0943976
"27",80,"false","0.6","1.0",0.005,"new_york",5,2,31.20625,6.35243416426497,0.0487163
"28",20,"true","0.6","1.0",0.005,"new_york",5,2,6.09375,4.35044955037092,0.439606
"29",40,"true","0.6","1.0",0.005,"new_york",5,2,6.14754098360656,5.27205230618264,0.292638
"30",80,"true","0.6","1.0",0.005,"new_york",5,2,7.24657534246575,5.82804718084551,0.238553
"31",20,"false","20.0","1.0",0.005,"new_york",5,2,15.45,5.425249610233,0.105922
"32",40,"false","20.0","1.0",0.005,"new_york",5,2,25.525,7.27049699692383,0.035659
"33",80,"false","20.0","1.0",0.005,"new_york",5,2,32.125,6.01648678279502,0.0755524
"34",20,"true","20.0","1.0",0.005,"new_york",5,2,8.84615384615385,4.93397705250601,0.452887
"35",40,"true","20.0","1.0",0.005,"new_york",5,2,11.28,6.10396415277632,0.333333
"36",80,"true","20.0","1.0",0.005,"new_york",5,2,9.9261744966443,7.63534982979819,0.223143
"37",20,"false","50.0","1.0",0.005,"new_york",5,2,15.5,6.03409118345558,0.131509
"38",40,"false","50.0","1.0",0.005,"new_york",5,2,26.0375,7.23116278269777,0.0981869
"39",80,"false","50.0","1.0",0.005,"new_york",5,2,32.74375,6.606883084182,0.0827874
"40",20,"true","50.0","1.0",0.005,"new_york",5,2,10.425,4.8085794053375,0.486236
"41",40,"true","50.0","1.0",0.005,"new_york",5,2,17.375,6.99977395656731,0.310381
"42",80,"true","50.0","1.0",0.005,"new_york",5,2,22.85,9.47303355741307,0.191907
"43",20,"false","100.0","1.0",0.005,"new_york",5,2,15.625,5.84714482154347,0.174055
"44",40,"false","100.0","1.0",0.005,"new_york",5,2,26.575,7.53519169789665,0.107239
"45",80,"false","100.0","1.0",0.005,"new_york",5,2,33.5875,6.59653758998618,0.0545605
"46",20,"true","100.0","1.0",0.005,"new_york",5,2,14.8,7.68014422941493,0.33937
"47",40,"true","100.0","1.0",0.005,"new_york",5,2,20.5,9.3524517871187,0.196952
"48",80,"true","100.0","1.0",0.005,"new_york",5,2,28.7375,10.0779899039017,0.0951884
"49",20,"false","0.6","0.01",0.01,"new_york",5,2,3.91176470588235,2.51501728482311,0.194673
"50",40,"false","0.6","0.01",0.01,"new_york",5,2,7.65384615384615,3.51186087895959,0.103046
"51",80,"false","0.6","0.01",0.01,"new_york",5,2,12.4654088050314,4.59881640553531,0.106609
