"","NTopics","Binary","Alpha","Beta","Cutoff","City","MinUsers","MinVenues","m","sd","nmi"
"1",20,"false","0.6","0.01",0.005,"new_york",5,2,15.575,6.48820428715025,0.208638
"2",40,"false","0.6","0.01",0.005,"new_york",5,2,24.7875,7.1647762691756,0.0986263
"3",80,"false","0.6","0.01",0.005,"new_york",5,2,32.84375,6.68288612660219,0.0632123
"4",20,"true","0.6","0.01",0.005,"new_york",5,2,8.51282051282051,4.75102091450821,0.415813
"5",40,"true","0.6","0.01",0.005,"new_york",5,2,11.7368421052632,6.4608945119648,0.334625
"6",80,"true","0.6","0.01",0.005,"new_york",5,2,15.2389937106918,8.99610261569487,0.180468
"7",20,"false","20.0","0.01",0.005,"new_york",5,2,16.3,6.4973367324916,0.155423
"8",40,"false","20.0","0.01",0.005,"new_york",5,2,25.95,7.97130931227102,0.116461
"9",80,"false","20.0","0.01",0.005,"new_york",5,2,33.43125,6.50169003186404,0.0949692
"10",20,"true","20.0","0.01",0.005,"new_york",5,2,9.35,4.8280696360198,0.489564
"11",40,"true","20.0","0.01",0.005,"new_york",5,2,15.425,7.27188969572803,0.290279
"12",80,"true","20.0","0.01",0.005,"new_york",5,2,23.61875,9.00095863168519,0.2262
"13",20,"false","50.0","0.01",0.005,"new_york",5,2,16.65,6.49871782225797,0.174116
"14",40,"false","50.0","0.01",0.005,"new_york",5,2,26.2125,7.75526566724959,0.0844498
"15",80,"false","50.0","0.01",0.005,"new_york",5,2,33.26875,6.63014070161942,0.100215
"16",20,"true","50.0","0.01",0.005,"new_york",5,2,11.4,4.56182599517522,0.464405
"17",40,"true","50.0","0.01",0.005,"new_york",5,2,18.3,8.10906665562175,0.318947
"18",80,"true","50.0","0.01",0.005,"new_york",5,2,27.3375,9.66540058939406,0.197311
"19",20,"false","100.0","0.01",0.005,"new_york",5,2,15.575,5.8655338358488,0.207999
"20",40,"false","100.0","0.01",0.005,"new_york",5,2,26,8.48677302958528,0.0788284
