"","NTopics","Binary","Alpha","Beta","Cutoff","City","MinUsers","MinVenues","m","sd","nmi"
"1",20,"false","0.6","0.01",0.005,"new_york",5,2,15.6,6.01621739923615,0.140483
"2",40,"false","0.6","0.01",0.005,"new_york",5,2,25.6,7.00921635591673,0.0918239
"3",80,"false","0.6","0.01",0.005,"new_york",5,2,32.1375,7.10079054860051,0.108529
"4",20,"true","0.6","0.01",0.005,"new_york",5,2,8.44736842105263,4.76868936847745,0.491784
"5",40,"true","0.6","0.01",0.005,"new_york",5,2,12.2133333333333,6.69871575697856,0.305727
"6",80,"true","0.6","0.01",0.005,"new_york",5,2,15.373417721519,8.78075789803407,0.189406
"7",20,"false","20.0","0.01",0.005,"new_york",5,2,15.325,5.83265563828963,0.210858
"8",40,"false","20.0","0.01",0.005,"new_york",5,2,25.925,7.89131071559894,0.111209
"9",80,"false","20.0","0.01",0.005,"new_york",5,2,33.15625,6.95226027677149,0.0725056
"10",20,"true","20.0","0.01",0.005,"new_york",5,2,9.575,4.7279176312839,0.48903
"11",40,"true","20.0","0.01",0.005,"new_york",5,2,15.975,7.01711289760408,0.31815
"12",80,"true","20.0","0.01",0.005,"new_york",5,2,23.01875,9.28681480623378,0.173642
"13",20,"false","50.0","0.01",0.005,"new_york",5,2,15.725,5.90518025517882,0.234005
"14",40,"false","50.0","0.01",0.005,"new_york",5,2,25.8875,7.46975971009659,0.118667
"15",80,"false","50.0","0.01",0.005,"new_york",5,2,33.15625,7.13706498085036,0.0722601
"16",20,"true","50.0","0.01",0.005,"new_york",5,2,10.5,4.83045891539648,0.370321
"17",40,"true","50.0","0.01",0.005,"new_york",5,2,18.4,7.20864459950866,0.343997
"18",80,"true","50.0","0.01",0.005,"new_york",5,2,25.34375,9.3889047827139,0.196304
"19",20,"false","100.0","0.01",0.005,"new_york",5,2,16.25,6.54275876887512,0.158601
"20",40,"false","100.0","0.01",0.005,"new_york",5,2,25.5,7.57744821948572,0.101049
"21",80,"false","100.0","0.01",0.005,"new_york",5,2,33.05625,6.65714433933327,0.0923979
"22",20,"true","100.0","0.01",0.005,"new_york",5,2,14.275,6.99079064528139,0.303264
"23",40,"true","100.0","0.01",0.005,"new_york",5,2,22.05,7.87223931919846,0.292389
"24",80,"true","100.0","0.01",0.005,"new_york",5,2,30.1875,9.9034251745888,0.182011
"25",20,"false","0.6","1.0",0.005,"new_york",5,2,14.8,5.67585981287281,0.0638472
"26",40,"false","0.6","1.0",0.005,"new_york",5,2,24.2875,6.86615944831026,0.0709121
"27",80,"false","0.6","1.0",0.005,"new_york",5,2,31.50625,6.30064075307989,0.0627813
"28",20,"true","0.6","1.0",0.005,"new_york",5,2,6.03030303030303,3.78718933119313,0.613332
"29",40,"true","0.6","1.0",0.005,"new_york",5,2,6.7906976744186,4.86757072262503,0.397854
"30",80,"true","0.6","1.0",0.005,"new_york",5,2,6.16,5.16803361333607,0.243301
"31",20,"false","20.0","1.0",0.005,"new_york",5,2,15.35,6.45119746387822,0.154705
"32",40,"false","20.0","1.0",0.005,"new_york",5,2,25.1,6.59036504242406,0.102696
"33",80,"false","20.0","1.0",0.005,"new_york",5,2,32.38125,5.91328519724014,0.0681897
