"","NTopics","Binary","Alpha","Beta","Cutoff","City","MinUsers","MinVenues","m","sd","nmi"
"59",40,"true","20.0","0.01",0.01,"new_york",2,2,4.15068493150685,2.76220138092746,0.487258
"60",80,"true","20.0","0.01",0.01,"new_york",2,2,6.35714285714286,3.59680063249494,0.295019
"61",20,"false","50.0","0.01",0.01,"new_york",2,2,3.38235294117647,1.82598592517316,0.211828
"62",40,"false","50.0","0.01",0.01,"new_york",2,2,7.41025641025641,3.25311398244061,0.18867
"63",80,"false","50.0","0.01",0.01,"new_york",2,2,12.0875,4.54659662610432,0.156029
"64",20,"true","50.0","0.01",0.01,"new_york",2,2,3.38888888888889,2.73890257248908,0.529588
"65",40,"true","50.0","0.01",0.01,"new_york",2,2,4.84615384615385,3.03690257051115,0.398423
"66",80,"true","50.0","0.01",0.01,"new_york",2,2,7.56050955414013,4.12518465727765,0.277725
"67",20,"false","100.0","0.01",0.01,"new_york",2,2,3.97058823529412,2.58767819316324,0.224478
"68",40,"false","100.0","0.01",0.01,"new_york",2,2,7.82051282051282,3.47063222558773,0.164094
"69",80,"false","100.0","0.01",0.01,"new_york",2,2,12.14375,4.61041598281448,0.106556
"70",20,"true","100.0","0.01",0.01,"new_york",2,2,4,2.86744175568088,0.513653
"71",40,"true","100.0","0.01",0.01,"new_york",2,2,7.18181818181818,3.66967398784054,0.331777
"72",80,"true","100.0","0.01",0.01,"new_york",2,2,9.79375,4.76108025768583,0.176528
"73",20,"false","0.6","1.0",0.01,"new_york",2,2,3.6,1.7523094005609,0.119886
"74",40,"false","0.6","1.0",0.01,"new_york",2,2,6.8974358974359,2.82194435865946,0.141977
"75",80,"false","0.6","1.0",0.01,"new_york",2,2,11.2025316455696,3.82375993581748,0.0546797
"76",20,"true","0.6","1.0",0.01,"new_york",2,2,2.22222222222222,2.01627366126828,0.670454
"77",40,"true","0.6","1.0",0.01,"new_york",2,2,2.45454545454545,2.27885537456457,0.632971
"78",80,"true","0.6","1.0",0.01,"new_york",2,2,2.44444444444444,1.82574185835055,0.651649
"79",20,"false","20.0","1.0",0.01,"new_york",2,2,3.38888888888889,2.11495056041882,0.186877
"80",40,"false","20.0","1.0",0.01,"new_york",2,2,7.5,3.49675173943944,0.113071
"81",80,"false","20.0","1.0",0.01,"new_york",2,2,12.120253164557,4.0511971886856,0.0966787
"82",20,"true","20.0","1.0",0.01,"new_york",2,2,2.6,2.14315268897852,0.565324
"83",40,"true","20.0","1.0",0.01,"new_york",2,2,3.03174603174603,1.83134230665303,0.573148
"84",80,"true","20.0","1.0",0.01,"new_york",2,2,3.60952380952381,2.37573971514962,0.396846
"85",20,"false","50.0","1.0",0.01,"new_york",2,2,3.88888888888889,2.44689631723569,0.310611
"86",40,"false","50.0","1.0",0.01,"new_york",2,2,7.31645569620253,3.53931872264252,0.134794
"87",80,"false","50.0","1.0",0.01,"new_york",2,2,11.811320754717,4.43542958306618,0.0978163
"88",20,"true","50.0","1.0",0.01,"new_york",2,2,3.48571428571429,2.38094677870489,0.496365
"89",40,"true","50.0","1.0",0.01,"new_york",2,2,5.14473684210526,3.09711240725258,0.294068
"90",80,"true","50.0","1.0",0.01,"new_york",2,2,7.46794871794872,3.74410482310331,0.163276
"91",20,"false","100.0","1.0",0.01,"new_york",2,2,4.05714285714286,2.19548811593843,0.270073
"92",40,"false","100.0","1.0",0.01,"new_york",2,2,7.77922077922078,3.51546723937822,0.16864
"93",80,"false","100.0","1.0",0.01,"new_york",2,2,12.10625,4.49681491053642,0.105134
"94",20,"true","100.0","1.0",0.01,"new_york",2,2,3.64705882352941,2.4356239066442,0.375834
"95",40,"true","100.0","1.0",0.01,"new_york",2,2,6.59459459459459,4.01681028950686,0.237834
"96",80,"true","100.0","1.0",0.01,"new_york",2,2,9.99367088607595,4.86701733881691,0.156777
"97",20,"false","0.6","0.01",0.005,"san_francisco",2,2,23.35,5.62298396920609,0.164222
"98",40,"false","0.6","0.01",0.005,"san_francisco",2,2,31.675,6.10203327806251,0.051856
"99",80,"false","0.6","0.01",0.005,"san_francisco",2,2,38.15,6.75277720645365,0.0705245
"100",20,"true","0.6","0.01",0.005,"san_francisco",2,2,12.925,6.18678285147313,0.320082
"101",40,"true","0.6","0.01",0.005,"san_francisco",2,2,17.675,9.2473396790234,0.141479
"102",80,"true","0.6","0.01",0.005,"san_francisco",2,2,23.78125,10.7864764357677,0.0786273
"103",20,"false","20.0","0.01",0.005,"san_francisco",2,2,24.3,6.20256357257182,0.1166
"104",40,"false","20.0","0.01",0.005,"san_francisco",2,2,31.9125,5.85087627322241,0.0838566
"105",80,"false","20.0","0.01",0.005,"san_francisco",2,2,39.36875,7.32242345266414,0.0647708
"106",20,"true","20.0","0.01",0.005,"san_francisco",2,2,17.925,7.07247282036996,0.293027
"107",40,"true","20.0","0.01",0.005,"san_francisco",2,2,25.375,9.18360537016572,0.198881
"108",80,"true","20.0","0.01",0.005,"san_francisco",2,2,34.40625,10.982144957231,0.10765
"109",20,"false","50.0","0.01",0.005,"san_francisco",2,2,24.175,6.1514538619244,0.175824
"110",40,"false","50.0","0.01",0.005,"san_francisco",2,2,32.875,5.98600688948924,0.0792098
"111",80,"false","50.0","0.01",0.005,"san_francisco",2,2,39.23125,7.8108309537897,0.046345
"112",20,"true","50.0","0.01",0.005,"san_francisco",2,2,20.525,8.48826490076983,0.201943
"113",40,"true","50.0","0.01",0.005,"san_francisco",2,2,28.9375,9.70494295302754,0.232554
"114",80,"true","50.0","0.01",0.005,"san_francisco",2,2,39.38125,9.53831853317195,0.0829585
"115",20,"false","100.0","0.01",0.005,"san_francisco",2,2,24.6,7.1532671395126,0.134002
"116",40,"false","100.0","0.01",0.005,"san_francisco",2,2,32.4375,5.22613624009172,0.0609564
"117",80,"false","100.0","0.01",0.005,"san_francisco",2,2,39.40625,7.32300319446629,0.077469
"118",20,"true","100.0","0.01",0.005,"san_francisco",2,2,12.6,8.57784863351453,0
"119",40,"true","100.0","0.01",0.005,"san_francisco",2,2,22.7375,10.6803306140455,0.0233588
"120",80,"true","100.0","0.01",0.005,"san_francisco",2,2,34.825,8.82645394868041,0.0149626
"121",20,"false","0.6","1.0",0.005,"san_francisco",2,2,22.35,6.19987592927968,0.0549041
"122",40,"false","0.6","1.0",0.005,"san_francisco",2,2,30.025,6.07750573421096,0.102361
"123",80,"false","0.6","1.0",0.005,"san_francisco",2,2,37.775,7.18834661407094,0.059891
"124",20,"true","0.6","1.0",0.005,"san_francisco",2,2,7.22222222222222,4.83316429724699,0.459617
"125",40,"true","0.6","1.0",0.005,"san_francisco",2,2,6.66666666666667,4.21481979239361,0.342338
"126",80,"true","0.6","1.0",0.005,"san_francisco",2,2,8.375,5.1234753829798,0.351114
"127",20,"false","20.0","1.0",0.005,"san_francisco",2,2,24.225,6.65057352452615,0.12308
"128",40,"false","20.0","1.0",0.005,"san_francisco",2,2,32.325,5.88448937375822,0.0868869
"129",80,"false","20.0","1.0",0.005,"san_francisco",2,2,37.7,7.80324073944511,0.0644459
"130",20,"true","20.0","1.0",0.005,"san_francisco",2,2,14.275,7.23590584055192,0.282437
"131",40,"true","20.0","1.0",0.005,"san_francisco",2,2,21.375,9.66970343686724,0.181918
"132",80,"true","20.0","1.0",0.005,"san_francisco",2,2,27.4125,10.2302962940548,0.0998603
"133",20,"false","50.0","1.0",0.005,"san_francisco",2,2,24.825,6.83838149992098,0.124478
"134",40,"false","50.0","1.0",0.005,"san_francisco",2,2,31.9875,5.32843756043393,0.0783573
"135",80,"false","50.0","1.0",0.005,"san_francisco",2,2,39.05,7.50496690878026,0.0685089
"136",20,"true","50.0","1.0",0.005,"san_francisco",2,2,19.9,9.63114605636185,0.253059
"137",40,"true","50.0","1.0",0.005,"san_francisco",2,2,27.8875,10.3654657274449,0.152759
"138",80,"true","50.0","1.0",0.005,"san_francisco",2,2,38.90625,9.07605660290412,0.0557721
"139",20,"false","100.0","1.0",0.005,"san_francisco",2,2,24.25,5.51338697149365,0.122632
"140",40,"false","100.0","1.0",0.005,"san_francisco",2,2,32.475,5.57338839736189,0.0945094
"141",80,"false","100.0","1.0",0.005,"san_francisco",2,2,39.3,6.68782804990957,0.0571888
"142",20,"true","100.0","1.0",0.005,"san_francisco",2,2,11.525,8.79681614898108,0
"143",40,"true","100.0","1.0",0.005,"san_francisco",2,2,21.425,10.3529791468538,0.0247469
"144",80,"true","100.0","1.0",0.005,"san_francisco",2,2,32.21875,9.71588330337391,0.0196216
"145",20,"false","0.6","0.01",0.01,"san_francisco",2,2,6.525,3.80274866851564,0.12217
"146",40,"false","0.6","0.01",0.01,"san_francisco",2,2,10.925,3.96751045877718,0.0741126
"147",80,"false","0.6","0.01",0.01,"san_francisco",2,2,14.76875,3.62246983919108,0.0693331
"148",20,"true","0.6","0.01",0.01,"san_francisco",2,2,3.41935483870968,2.50032255983619,0.504702
"149",40,"true","0.6","0.01",0.01,"san_francisco",2,2,4.2741935483871,3.69389995532604,0.315814
"150",80,"true","0.6","0.01",0.01,"san_francisco",2,2,5.64285714285714,4.11537113123353,0.160712
"151",20,"false","20.0","0.01",0.01,"san_francisco",2,2,7,3.95487365677156,0.184266
"152",40,"false","20.0","0.01",0.01,"san_francisco",2,2,11.0375,3.7160062609804,0.114221
"153",80,"false","20.0","0.01",0.01,"san_francisco",2,2,15.80625,3.55636885516144,0.0757065
"154",20,"true","20.0","0.01",0.01,"san_francisco",2,2,3.97142857142857,2.5261655933533,0.430876
"155",40,"true","20.0","0.01",0.01,"san_francisco",2,2,6.22666666666667,3.91315637213654,0.254853
"156",80,"true","20.0","0.01",0.01,"san_francisco",2,2,9.4968152866242,4.65147371714635,0.148911
"157",20,"false","50.0","0.01",0.01,"san_francisco",2,2,6.97435897435897,3.62365894967169,0.200679
"158",40,"false","50.0","0.01",0.01,"san_francisco",2,2,11.6875,4.01451086290154,0.0931541
"159",80,"false","50.0","0.01",0.01,"san_francisco",2,2,15.31875,3.59134507308366,0.0807332
"160",20,"true","50.0","0.01",0.01,"san_francisco",2,2,5.63636363636364,3.08036302465089,0.378863
"161",40,"true","50.0","0.01",0.01,"san_francisco",2,2,7.72727272727273,4.18844388776511,0.319781
"162",80,"true","50.0","0.01",0.01,"san_francisco",2,2,11.89375,5.20956652067457,0.132584
"163",20,"false","100.0","0.01",0.01,"san_francisco",2,2,7.53846153846154,3.94599166274197,0.117194
"164",40,"false","100.0","0.01",0.01,"san_francisco",2,2,11.625,4.07329990939763,0.0398268
"165",80,"false","100.0","0.01",0.01,"san_francisco",2,2,15.7125,3.64353049464511,0.108001
"166",20,"true","100.0","0.01",0.01,"san_francisco",2,2,3.95238095238095,3.18553277296264,0.0742556
"167",40,"true","100.0","0.01",0.01,"san_francisco",2,2,5.43835616438356,4.59766335994547,0.0376826
"168",80,"true","100.0","0.01",0.01,"san_francisco",2,2,10.9625,5.85666045610578,0.0275781
"169",20,"false","0.6","1.0",0.01,"san_francisco",2,2,6.525,3.12957357626095,0.0896991
"170",40,"false","0.6","1.0",0.01,"san_francisco",2,2,10.2,3.81668555262219,0.0745168
"171",80,"false","0.6","1.0",0.01,"san_francisco",2,2,14.3375,3.51615767278349,0.0622104
"172",20,"true","0.6","1.0",0.01,"san_francisco",2,2,1.8,0.918936583472681,0.602731
"173",40,"true","0.6","1.0",0.01,"san_francisco",2,2,1.72727272727273,0.646669790682863,0.694739
"174",80,"true","0.6","1.0",0.01,"san_francisco",2,2,2,0.666666666666667,0.648832
"175",20,"false","20.0","1.0",0.01,"san_francisco",2,2,6.875,3.81755392217555,0.207028
"176",40,"false","20.0","1.0",0.01,"san_francisco",2,2,10.925,3.90966022027167,0.0804607
"177",80,"false","20.0","1.0",0.01,"san_francisco",2,2,14.90625,3.63905591979862,0.0675653
"178",20,"true","20.0","1.0",0.01,"san_francisco",2,2,3.75862068965517,2.81139482938621,0.544529
"179",40,"true","20.0","1.0",0.01,"san_francisco",2,2,5.31506849315068,3.87970757893186,0.25573
"180",80,"true","20.0","1.0",0.01,"san_francisco",2,2,6.18954248366013,4.3675713382342,0.165156
"181",20,"false","50.0","1.0",0.01,"san_francisco",2,2,6.94871794871795,4.3826735288473,0.171486
"182",40,"false","50.0","1.0",0.01,"san_francisco",2,2,10.9375,4.06075303236646,0.0820685
"183",80,"false","50.0","1.0",0.01,"san_francisco",2,2,15.1375,3.4486119712577,0.0812588
"184",20,"true","50.0","1.0",0.01,"san_francisco",2,2,5.63888888888889,3.69673815895487,0.392284
"185",40,"true","50.0","1.0",0.01,"san_francisco",2,2,7.20779220779221,4.43472440945694,0.204926
"186",80,"true","50.0","1.0",0.01,"san_francisco",2,2,11.26875,5.77755565711566,0.109019
"187",20,"false","100.0","1.0",0.01,"san_francisco",2,2,6.8,3.88422186379453,0.14302
"188",40,"false","100.0","1.0",0.01,"san_francisco",2,2,11.5375,3.92958190193952,0.125291
"189",80,"false","100.0","1.0",0.01,"san_francisco",2,2,15.75625,3.43080179307931,0.0850667
"190",20,"true","100.0","1.0",0.01,"san_francisco",2,2,4.2,3.41205293967692,0.0631774
"191",40,"true","100.0","1.0",0.01,"san_francisco",2,2,5.40298507462687,4.5695291896349,0.0325951
"192",80,"true","100.0","1.0",0.01,"san_francisco",2,2,9.08125,5.50125414517556,0.0155353
"193",20,"false","0.6","0.01",0.005,"new_york",2,5,19.475,8.07651708381331,0.208061
"194",40,"false","0.6","0.01",0.005,"new_york",2,5,31.3,9.47935798712662,0.116444
"195",80,"false","0.6","0.01",0.005,"new_york",2,5,38.48125,8.66713003720153,0.0552984
"196",20,"true","0.6","0.01",0.005,"new_york",2,5,13.65,5.83776388521214,0.481504
"197",40,"true","0.6","0.01",0.005,"new_york",2,5,20.675,7.14900187775198,0.290238
"198",80,"true","0.6","0.01",0.005,"new_york",2,5,27.825,8.96502638664313,0.189637
"199",20,"false","20.0","0.01",0.005,"new_york",2,5,19.575,8.10788631597783,0.18414
"200",40,"false","20.0","0.01",0.005,"new_york",2,5,31.5625,9.36711693888976,0.104986
"201",80,"false","20.0","0.01",0.005,"new_york",2,5,39.6125,8.63296847290016,0.0980818
"202",20,"true","20.0","0.01",0.005,"new_york",2,5,15.275,6.03828596837691,0.4765
"203",40,"true","20.0","0.01",0.005,"new_york",2,5,25.5625,6.31823511249058,0.296937
"204",80,"true","20.0","0.01",0.005,"new_york",2,5,38.05,7.77902356000866,0.190375
"205",20,"false","50.0","0.01",0.005,"new_york",2,5,19.35,7.65456123447371,0.155685
"206",40,"false","50.0","0.01",0.005,"new_york",2,5,31.4625,9.37805646378687,0.0756282
"207",80,"false","50.0","0.01",0.005,"new_york",2,5,39.54375,9.01350968925196,0.101527
"208",20,"true","50.0","0.01",0.005,"new_york",2,5,18.2,6.25197404722536,0.429395
"209",40,"true","50.0","0.01",0.005,"new_york",2,5,28.675,6.50759050472717,0.206287
"210",80,"true","50.0","0.01",0.005,"new_york",2,5,41.3375,7.4444589160972,0.157157
"211",20,"false","100.0","0.01",0.005,"new_york",2,5,20.475,8.2118972479115,0.160302
"212",40,"false","100.0","0.01",0.005,"new_york",2,5,31.9125,9.56151800616819,0.103701
"213",80,"false","100.0","0.01",0.005,"new_york",2,5,39.675,8.50937330020632,0.103594
"214",20,"true","100.0","0.01",0.005,"new_york",2,5,22.85,7.98893465507617,0.344749
"215",40,"true","100.0","0.01",0.005,"new_york",2,5,33.9875,7.19263644203861,0.286573
"216",80,"true","100.0","0.01",0.005,"new_york",2,5,44.4375,7.9199513212404,0.106358
"217",20,"false","0.6","1.0",0.005,"new_york",2,5,20.1,7.78822253511096,0.201955
"218",40,"false","0.6","1.0",0.005,"new_york",2,5,30.025,8.83745624664657,0.101342
"219",80,"false","0.6","1.0",0.005,"new_york",2,5,37.76875,7.77936463671317,0.0416536
"220",20,"true","0.6","1.0",0.005,"new_york",2,5,9.91891891891892,5.22482524098163,0.464572
"221",40,"true","0.6","1.0",0.005,"new_york",2,5,7.875,6.53471229578873,0.260806
"222",80,"true","0.6","1.0",0.005,"new_york",2,5,7.32967032967033,7.35157571175496,0.206723
"223",20,"false","20.0","1.0",0.005,"new_york",2,5,20.425,7.16074591444788,0.205116
"224",40,"false","20.0","1.0",0.005,"new_york",2,5,31.525,9.12358884528021,0.0825466
"225",80,"false","20.0","1.0",0.005,"new_york",2,5,38.8,8.34085195413243,0.0825588
"226",20,"true","20.0","1.0",0.005,"new_york",2,5,15.1,5.68759333538518,0.510449
"227",40,"true","20.0","1.0",0.005,"new_york",2,5,23.175,5.46976731044199,0.255927
"228",80,"true","20.0","1.0",0.005,"new_york",2,5,33.88125,8.0410674492427,0.168938
"229",20,"false","50.0","1.0",0.005,"new_york",2,5,19.925,7.75717203294589,0.20346
"230",40,"false","50.0","1.0",0.005,"new_york",2,5,31.25,8.80520559496598,0.134264
"231",80,"false","50.0","1.0",0.005,"new_york",2,5,39.79375,8.29267834604378,0.0996702
"232",20,"true","50.0","1.0",0.005,"new_york",2,5,19.45,6.0635523141692,0.429656
"233",40,"true","50.0","1.0",0.005,"new_york",2,5,29.3625,6.67935369798492,0.240738
"234",80,"true","50.0","1.0",0.005,"new_york",2,5,41.53125,6.50874774206309,0.141826
"235",20,"false","100.0","1.0",0.005,"new_york",2,5,21.25,8.31356629945204,0.167239
"236",40,"false","100.0","1.0",0.005,"new_york",2,5,31.8875,9.25311271609229,0.123866
"237",80,"false","100.0","1.0",0.005,"new_york",2,5,38.925,8.15382766928376,0.0760402
"238",20,"true","100.0","1.0",0.005,"new_york",2,5,21.875,6.80944856384052,0.212388
"239",40,"true","100.0","1.0",0.005,"new_york",2,5,32.8125,7.52059408843729,0.160709
"240",80,"true","100.0","1.0",0.005,"new_york",2,5,43.59375,8.24186038334892,0.0948756
"241",20,"false","0.6","0.01",0.01,"new_york",2,5,5.08333333333333,3.03668051849854,0.237796
"242",40,"false","0.6","0.01",0.01,"new_york",2,5,9.75641025641026,4.23708395631718,0.183956
"243",80,"false","0.6","0.01",0.01,"new_york",2,5,15.0880503144654,5.33840118268811,0.0936151
"244",20,"true","0.6","0.01",0.01,"new_york",2,5,3.33333333333333,2.61804634540083,0.551447
"245",40,"true","0.6","0.01",0.01,"new_york",2,5,5.01315789473684,2.82131610448094,0.35675
"246",80,"true","0.6","0.01",0.01,"new_york",2,5,6.94805194805195,3.94702205572693,0.244594
"247",20,"false","20.0","0.01",0.01,"new_york",2,5,5.33333333333333,3.07988868073414,0.320271
"248",40,"false","20.0","0.01",0.01,"new_york",2,5,10.038961038961,4.53187993535377,0.129994
"249",80,"false","20.0","0.01",0.01,"new_york",2,5,15.5705128205128,4.96193533976045,0.110869
"250",20,"true","20.0","0.01",0.01,"new_york",2,5,3.36842105263158,2.46511939989953,0.484765
"251",40,"true","20.0","0.01",0.01,"new_york",2,5,5.91025641025641,3.01591405642429,0.378622
"252",80,"true","20.0","0.01",0.01,"new_york",2,5,11.3875,4.47493016705289,0.199736
"253",20,"false","50.0","0.01",0.01,"new_york",2,5,5.30555555555556,2.98395178479282,0.266344
"254",40,"false","50.0","0.01",0.01,"new_york",2,5,10.1645569620253,4.87124050895382,0.136781
"255",80,"false","50.0","0.01",0.01,"new_york",2,5,15.3836477987421,5.72889494075932,0.120075
"256",20,"true","50.0","0.01",0.01,"new_york",2,5,4.56756756756757,2.56623958070668,0.361893
"257",40,"true","50.0","0.01",0.01,"new_york",2,5,7.41772151898734,3.11574823271381,0.249451
"258",80,"true","50.0","0.01",0.01,"new_york",2,5,12.40625,4.04890990065818,0.213479
"259",20,"false","100.0","0.01",0.01,"new_york",2,5,5.16666666666667,2.5241688872634,0.18702
"260",40,"false","100.0","0.01",0.01,"new_york",2,5,10.493670886076,4.44301069592923,0.152999
"261",80,"false","100.0","0.01",0.01,"new_york",2,5,15.4905660377358,5.35909014161246,0.127215
"262",20,"true","100.0","0.01",0.01,"new_york",2,5,5.875,2.77523387787824,0.461758
"263",40,"true","100.0","0.01",0.01,"new_york",2,5,10.1125,4.07522228950284,0.324187
"264",80,"true","100.0","0.01",0.01,"new_york",2,5,16.05,4.2968468766947,0.119437
"265",20,"false","0.6","1.0",0.01,"new_york",2,5,5.19444444444444,2.68135833854458,0.170112
"266",40,"false","0.6","1.0",0.01,"new_york",2,5,10,4.2242343500516,0.111164
"267",80,"false","0.6","1.0",0.01,"new_york",2,5,14.7025316455696,4.42274015657971,0.0536263
"268",20,"true","0.6","1.0",0.01,"new_york",2,5,2.92,2.1,0.722184
"269",40,"true","0.6","1.0",0.01,"new_york",2,5,2.90625,2.37404479942511,0.588713
"270",80,"true","0.6","1.0",0.01,"new_york",2,5,3.10526315789474,2.56577761969761,0.552347
"271",20,"false","20.0","1.0",0.01,"new_york",2,5,5.17142857142857,2.44330675502682,0.198943
"272",40,"false","20.0","1.0",0.01,"new_york",2,5,10.3461538461538,4.10835993781234,0.129152
"273",80,"false","20.0","1.0",0.01,"new_york",2,5,15.35,5.20908736680127,0.108816
"274",20,"true","20.0","1.0",0.01,"new_york",2,5,3.7027027027027,2.10640379247117,0.619909
"275",40,"true","20.0","1.0",0.01,"new_york",2,5,5.31578947368421,2.58307582191355,0.349457
"276",80,"true","20.0","1.0",0.01,"new_york",2,5,8.61392405063291,3.87664028738311,0.204303
"277",20,"false","50.0","1.0",0.01,"new_york",2,5,5.27027027027027,2.67341488496401,0.194842
"278",40,"false","50.0","1.0",0.01,"new_york",2,5,10.025641025641,4.50965590006558,0.1713
"279",80,"false","50.0","1.0",0.01,"new_york",2,5,15.38125,5.59747458217661,0.105582
"280",20,"true","50.0","1.0",0.01,"new_york",2,5,4.67567567567568,2.6567947904493,0.439822
"281",40,"true","50.0","1.0",0.01,"new_york",2,5,7.775,3.51479693131117,0.36881
"282",80,"true","50.0","1.0",0.01,"new_york",2,5,12.94375,4.16521515597904,0.200263
"283",20,"false","100.0","1.0",0.01,"new_york",2,5,5.33333333333333,2.91792489867127,0.178849
"284",40,"false","100.0","1.0",0.01,"new_york",2,5,10.0253164556962,4.31447974563504,0.170298
"285",80,"false","100.0","1.0",0.01,"new_york",2,5,15.1132075471698,5.44940030619497,0.106014
"286",20,"true","100.0","1.0",0.01,"new_york",2,5,6.075,2.45354270288328,0.22352
