"","NTopics","Binary","Alpha","Beta","Cutoff","City","MinUsers","MinVenues","m","sd","nmi"
"1",20,"false","0.6","0.01",0.005,"new_york",2,2,15.225,6.61190650964665,0.107997
"2",40,"false","0.6","0.01",0.005,"new_york",2,2,24.975,7.64559110148713,0.128618
"3",80,"false","0.6","0.01",0.005,"new_york",2,2,32.125,6.92706840803234,0.0878887
"4",20,"true","0.6","0.01",0.005,"new_york",2,2,8.89473684210526,4.32959316286222,0.420477
"5",40,"true","0.6","0.01",0.005,"new_york",2,2,12.7948717948718,6.62611710622653,0.316862
"6",80,"true","0.6","0.01",0.005,"new_york",2,2,17.3354430379747,9.14888233018871,0.228037
"7",20,"false","20.0","0.01",0.005,"new_york",2,2,15.05,6.18911368494134,0.203968
"8",40,"false","20.0","0.01",0.005,"new_york",2,2,25.225,7.3363582177218,0.142185
"9",80,"false","20.0","0.01",0.005,"new_york",2,2,32.75625,6.73743589600897,0.101708
"10",20,"true","20.0","0.01",0.005,"new_york",2,2,10.625,4.49322852346757,0.47682
"11",40,"true","20.0","0.01",0.005,"new_york",2,2,16.3,6.36922982844825,0.283674
"12",80,"true","20.0","0.01",0.005,"new_york",2,2,25.4875,9.29799295310417,0.191659
"13",20,"false","50.0","0.01",0.005,"new_york",2,2,14.7,6.68791485653078,0.194274
"14",40,"false","50.0","0.01",0.005,"new_york",2,2,24.75,7.11834854976555,0.108275
"15",80,"false","50.0","0.01",0.005,"new_york",2,2,32.36875,6.61770245999747,0.0960976
"16",20,"true","50.0","0.01",0.005,"new_york",2,2,13.425,5.81724888717894,0.418044
"17",40,"true","50.0","0.01",0.005,"new_york",2,2,19,6.22774518799399,0.321439
"18",80,"true","50.0","0.01",0.005,"new_york",2,2,29.375,8.9931840018186,0.188453
"19",20,"false","100.0","0.01",0.005,"new_york",2,2,14.925,5.61311422314309,0.187735
"20",40,"false","100.0","0.01",0.005,"new_york",2,2,25.025,7.55733359983801,0.083062
"21",80,"false","100.0","0.01",0.005,"new_york",2,2,32.4375,7.25084033299529,0.0641123
"22",20,"true","100.0","0.01",0.005,"new_york",2,2,14.75,6.75106829153158,0.43071
"23",40,"true","100.0","0.01",0.005,"new_york",2,2,24.4,9.02542120059232,0.260376
"24",80,"true","100.0","0.01",0.005,"new_york",2,2,33.40625,9.09232648684572,0.134399
"25",20,"false","0.6","1.0",0.005,"new_york",2,2,14.8,5.84500663507772,0.198115
"26",40,"false","0.6","1.0",0.005,"new_york",2,2,23.8125,7.02093388789752,0.0926919
"27",80,"false","0.6","1.0",0.005,"new_york",2,2,30.64375,6.5130221515952,0.0455301
"28",20,"true","0.6","1.0",0.005,"new_york",2,2,6.54545454545455,4.59681213649001,0.55782
"29",40,"true","0.6","1.0",0.005,"new_york",2,2,7.26,5.52105432108094,0.297536
"30",80,"true","0.6","1.0",0.005,"new_york",2,2,6.42424242424242,5.55271411407377,0.216105
"31",20,"false","20.0","1.0",0.005,"new_york",2,2,14.35,6.66621793361585,0.157114
"32",40,"false","20.0","1.0",0.005,"new_york",2,2,24.3375,6.94634727798208,0.0781178
"33",80,"false","20.0","1.0",0.005,"new_york",2,2,31.60625,5.82350137279916,0.0615322
"34",20,"true","20.0","1.0",0.005,"new_york",2,2,9.74358974358974,5.24011826261658,0.36067
"35",40,"true","20.0","1.0",0.005,"new_york",2,2,12.5696202531646,6.64615474773696,0.339488
"36",80,"true","20.0","1.0",0.005,"new_york",2,2,15.2207792207792,9.32509913612989,0.139797
"37",20,"false","50.0","1.0",0.005,"new_york",2,2,15.175,6.08860853119609,0.196477
"38",40,"false","50.0","1.0",0.005,"new_york",2,2,25.275,6.83434180064922,0.118301
"39",80,"false","50.0","1.0",0.005,"new_york",2,2,32.425,6.52383149372288,0.0596363
"40",20,"true","50.0","1.0",0.005,"new_york",2,2,13.725,5.46779616223894,0.507566
"41",40,"true","50.0","1.0",0.005,"new_york",2,2,19.6625,7.57234099214145,0.330632
"42",80,"true","50.0","1.0",0.005,"new_york",2,2,26.6625,9.09895805770359,0.145156
"43",20,"false","100.0","1.0",0.005,"new_york",2,2,15.675,5.7929554920898,0.175501
"44",40,"false","100.0","1.0",0.005,"new_york",2,2,25.35,7.6457980517472,0.136227
"45",80,"false","100.0","1.0",0.005,"new_york",2,2,32.3625,6.45593432822194,0.0737141
"46",20,"true","100.0","1.0",0.005,"new_york",2,2,16.1,7.97045827592147,0.253245
"47",40,"true","100.0","1.0",0.005,"new_york",2,2,22.8625,9.10660318225118,0.125089
"48",80,"true","100.0","1.0",0.005,"new_york",2,2,33.3125,9.09570878156253,0.113812
"49",20,"false","0.6","0.01",0.01,"new_york",2,2,3.6,2.25179666828382,0.19979
"50",40,"false","0.6","0.01",0.01,"new_york",2,2,7.20253164556962,3.53509781838129,0.21041
"51",80,"false","0.6","0.01",0.01,"new_york",2,2,11.7987421383648,4.24231229374306,0.0704951
"52",20,"true","0.6","0.01",0.01,"new_york",2,2,2.66666666666667,2.63117405792109,0.563806
"53",40,"true","0.6","0.01",0.01,"new_york",2,2,3.28125,2.30574678877978,0.528962
"54",80,"true","0.6","0.01",0.01,"new_york",2,2,4.76984126984127,2.94526792917099,0.314262
"55",20,"false","20.0","0.01",0.01,"new_york",2,2,3.12121212121212,1.76347625015153,0.254343
"56",40,"false","20.0","0.01",0.01,"new_york",2,2,7.77333333333333,2.9111775890445,0.143198
"57",80,"false","20.0","0.01",0.01,"new_york",2,2,12.1446540880503,4.5712869389617,0.102203
"58",20,"true","20.0","0.01",0.01,"new_york",2,2,2.83870967741935,2.49127509779695,0.662427
"59",40,"true","20.0","0.01",0.01,"new_york",2,2,4.1,2.79829140416231,0.420801
"60",80,"true","20.0","0.01",0.01,"new_york",2,2,6.51948051948052,3.75424949502026,0.248159
"61",20,"false","50.0","0.01",0.01,"new_york",2,2,3.77777777777778,2.35567534885568,0.327203
"62",40,"false","50.0","0.01",0.01,"new_york",2,2,7.48717948717949,3.5919953928744,0.111094
"63",80,"false","50.0","0.01",0.01,"new_york",2,2,12.3270440251572,4.46292300104308,0.126627
"64",20,"true","50.0","0.01",0.01,"new_york",2,2,3.38235294117647,2.61713127566846,0.494234
"65",40,"true","50.0","0.01",0.01,"new_york",2,2,4.70666666666667,2.46474237090917,0.41035
"66",80,"true","50.0","0.01",0.01,"new_york",2,2,7.71337579617834,4.05894225739879,0.221808
"67",20,"false","100.0","0.01",0.01,"new_york",2,2,3.62857142857143,2.34000646411518,0.275666
"68",40,"false","100.0","0.01",0.01,"new_york",2,2,7.56410256410256,3.98891237199088,0.127758
"69",80,"false","100.0","0.01",0.01,"new_york",2,2,12.35,4.67860109179022,0.0808669
"70",20,"true","100.0","0.01",0.01,"new_york",2,2,3.86842105263158,2.69304462113733,0.547386
"71",40,"true","100.0","0.01",0.01,"new_york",2,2,6.92105263157895,3.38925029230059,0.337859
"72",80,"true","100.0","0.01",0.01,"new_york",2,2,10.1006289308176,4.78022690070207,0.172581
"73",20,"false","0.6","1.0",0.01,"new_york",2,2,3.77142857142857,2.26333582917566,0.312017
"74",40,"false","0.6","1.0",0.01,"new_york",2,2,7.1038961038961,3.13546947540059,0.109367
"75",80,"false","0.6","1.0",0.01,"new_york",2,2,11.4303797468354,3.90878007034334,0.0630608
"76",20,"true","0.6","1.0",0.01,"new_york",2,2,2.7,2.8302873203598,0.632295
"77",40,"true","0.6","1.0",0.01,"new_york",2,2,2.51724137931034,2.41454949443654,0.538868
"78",80,"true","0.6","1.0",0.01,"new_york",2,2,2.75862068965517,2.50221576684393,0.421519
"79",20,"false","20.0","1.0",0.01,"new_york",2,2,4.08823529411765,2.86427998312785,0.316696
"80",40,"false","20.0","1.0",0.01,"new_york",2,2,7.49350649350649,3.5341319809127,0.110293
"81",80,"false","20.0","1.0",0.01,"new_york",2,2,12.1582278481013,4.01354736418668,0.0605763
"82",20,"true","20.0","1.0",0.01,"new_york",2,2,2.64285714285714,2.02236176040467,0.450876
"83",40,"true","20.0","1.0",0.01,"new_york",2,2,3.44262295081967,2.0778561881896,0.520265
"84",80,"true","20.0","1.0",0.01,"new_york",2,2,4.2212389380531,2.80539821872282,0.243531
"85",20,"false","50.0","1.0",0.01,"new_york",2,2,3.61111111111111,2.06020495204833,0.281737
