"NTopics","Binary","Alpha","Beta","Cutoff","City","MinUsers","MinVenues","m","sd","nmi","Rep"
40,"false",50,0.01,0.01,"new_york",2,2,7.64935064935065,3.50100073575299,0.144773,1
80,"false",50,0.01,0.01,"new_york",2,2,12.2264150943396,4.45643401788023,0.139592,1
20,"true",50,0.01,0.01,"new_york",2,2,3.39393939393939,2.70346298683968,0.544528,1
40,"true",50,0.01,0.01,"new_york",2,2,5.22077922077922,3.44743755572384,0.445391,1
80,"true",50,0.01,0.01,"new_york",2,2,7.36075949367089,4.07449477846641,0.247096,1
20,"false",100,0.01,0.01,"new_york",2,2,3.63888888888889,1.82291411564447,0.121991,1
40,"false",100,0.01,0.01,"new_york",2,2,7.73076923076923,3.40996658750084,0.145768,1
80,"false",100,0.01,0.01,"new_york",2,2,12.0125,4.34515200101788,0.120524,1
20,"true",100,0.01,0.01,"new_york",2,2,4.38888888888889,2.54421223034083,0.413155,1
40,"true",100,0.01,0.01,"new_york",2,2,7.45333333333333,3.5803266245887,0.284534,1
80,"true",100,0.01,0.01,"new_york",2,2,10.28125,4.84757849813672,0.18459,1
20,"false",0.6,1,0.01,"new_york",2,2,3.66666666666667,2.16465107712866,0.120927,1
40,"false",0.6,1,0.01,"new_york",2,2,7.27272727272727,3.19801074533416,0.068758,1
80,"false",0.6,1,0.01,"new_york",2,2,11.2848101265823,3.99855351577236,0.0736366,1
20,"true",0.6,1,0.01,"new_york",2,2,2.2,2.11759545860766,0.726759,1
40,"true",0.6,1,0.01,"new_york",2,2,2.48275862068966,2.02873446926847,0.621327,1
80,"true",0.6,1,0.01,"new_york",2,2,2.48,2.08406653764541,0.606786,1
20,"false",20,1,0.01,"new_york",2,2,3.54285714285714,2.29247948406828,0.292754,1
40,"false",20,1,0.01,"new_york",2,2,7.52564102564103,3.04393951411124,0.115889,1
80,"false",20,1,0.01,"new_york",2,2,11.6898734177215,4.05205287082379,0.0600444,1
20,"true",20,1,0.01,"new_york",2,2,2.23333333333333,1.27801930084539,0.534538,1
40,"true",20,1,0.01,"new_york",2,2,3.21311475409836,2.06651682869477,0.564327,1
80,"true",20,1,0.01,"new_york",2,2,3.57798165137615,2.28640741153279,0.298029,1
20,"false",50,1,0.01,"new_york",2,2,3.65714285714286,2.3507552871722,0.225101,1
40,"false",50,1,0.01,"new_york",2,2,7.65384615384615,3.50445698806802,0.161347,1
80,"false",50,1,0.01,"new_york",2,2,11.9119496855346,4.54009374770596,0.0881641,1
20,"true",50,1,0.01,"new_york",2,2,3.10810810810811,2.28258848902079,0.479555,1
40,"true",50,1,0.01,"new_york",2,2,5.17808219178082,2.89320307768159,0.360709,1
80,"true",50,1,0.01,"new_york",2,2,7.54248366013072,3.86616042378335,0.248157,1
20,"false",100,1,0.01,"new_york",2,2,3.79411764705882,2.33263294810569,0.243899,1
40,"false",100,1,0.01,"new_york",2,2,7.48101265822785,3.57290644991409,0.149514,1
80,"false",100,1,0.01,"new_york",2,2,12.4713375796178,3.79196267013795,0.102175,1
20,"true",100,1,0.01,"new_york",2,2,4.62857142857143,2.83969462200049,0.416246,1
40,"true",100,1,0.01,"new_york",2,2,7.26666666666667,3.67729826401429,0.1714,1
80,"true",100,1,0.01,"new_york",2,2,9.6375,5.07365559848868,0.0871387,1
20,"false",0.6,0.01,0.005,"new_york",2,5,19.575,7.21781094735758,0.137959,1
40,"false",0.6,0.01,0.005,"new_york",2,5,30.575,9.27876983334823,0.137132,1
80,"false",0.6,0.01,0.005,"new_york",2,5,38.7125,7.9963729985585,0.101164,1
20,"true",0.6,0.01,0.005,"new_york",2,5,13.675,6.31801453720294,0.442002,1
40,"true",0.6,0.01,0.005,"new_york",2,5,21.05,6.35231443917705,0.343497,1
